model,RMSE,MAE,runtime_seconds,throughput_rows_per_sec
RandomForest,287008.6494202839,100777.13320615646,123.64764523506165,619.4295075688331
LightGBM,235441.02797555577,89748.06936811234,6.925980567932129,11058.506336939892
